Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDC53,OUT017,1509.486351
FDY45,OUT013,3968.32355
FDA22,OUT010,354.1267182
FDE02,OUT035,1481.2924
FDW21,OUT045,1555.069118
FDV34,OUT046,1152.689123
FDS59,OUT049,1641.906022
NCW17,OUT017,2051.762578
NCK54,OUT046,1825.318391
FDG17,OUT019,490.2416376
FDG35,OUT017,2856.451952
FDD08,OUT010,66.12673212
NCO07,OUT017,3297.839262
FDJ10,OUT010,241.555171
FDW36,OUT017,1640.526728
FDW21,OUT010,203.3707335
FDY19,OUT017,1820.812052
DRE03,OUT013,670.6449843
NCC55,OUT049,643.0766515
FDH52,OUT010,138.375336
FDO09,OUT017,3996.108595
FDU43,OUT045,3723.554621
FDX09,OUT010,355.2334225
FDH40,OUT019,237.7969255
FDW58,OUT017,1714.831924
FDC47,OUT017,3696.068996
NCR41,OUT035,1581.694458
DRG49,OUT035,3905.174373
FDC52,OUT027,3817.703522
FDY13,OUT046,1159.701935
FDY35,OUT013,659.6670756
FDI35,OUT017,3038.910083
NCU18,OUT049,2130.400045
FDY33,OUT018,2315.496887
FDC15,OUT027,4075.582305
FDU01,OUT049,3001.951214
NCU42,OUT046,2812.631398
NCV29,OUT018,2572.143983
NCY30,OUT017,3052.133439
FDQ46,OUT049,1642.674525
FDG58,OUT027,3851.849316
FDK33,OUT017,3292.10355
NCD07,OUT045,1762.010524
NCX29,OUT027,3851.97144
NCT42,OUT013,2427.450703
DRN59,OUT035,772.8506381
FDI44,OUT035,1323.411451
FDA45,OUT049,2800.48122
FDP31,OUT045,980.4763343
FDY01,OUT046,1827.618243
FDT09,OUT018,1776.531458
DRH03,OUT027,2303.93371
FDA36,OUT018,2726.31625
NCF31,OUT017,2414.227347
FDG14,OUT049,2392.884884
FDG28,OUT027,5737.449685
FDU14,OUT049,3837.304883
FDY47,OUT019,245.2361916
FDI56,OUT049,1395.067325
DRD01,OUT013,819.5218394
FDM22,OUT046,858.7854887
FDH33,OUT013,638.3593432
DRZ24,OUT013,1822.959849
NCQ38,OUT046,1647.844283
FDO16,OUT027,2181.92378
FDU07,OUT027,3849.70152
NCB07,OUT013,3000.447367
FDU48,OUT045,1949.87232
NCM43,OUT045,2566.864379
FDR31,OUT010,241.555171
DRK49,OUT018,423.9900493
NCI30,OUT010,476.7122023
DRD60,OUT017,2935.173433
NCG19,OUT046,3696.068996
FDH12,OUT035,1684.587169
FDM32,OUT035,1508.89494
FDM27,OUT035,2448.720504
NCU53,OUT027,4264.17675
NCQ18,OUT046,1584.586307
FDS10,OUT013,2798.333424
FDB33,OUT027,4115.092126
FDI12,OUT013,1311.880762
NCW42,OUT013,3561.32243
NCC06,OUT018,1781.675223
FDW02,OUT017,1954.746954
NCD43,OUT017,1647.844283
FDM57,OUT018,1089.182149
FDA58,OUT017,3696.068996
FDK56,OUT046,3000.447367
FDP52,OUT045,3708.32626
FDW20,OUT018,1781.675223
FDS52,OUT049,1582.329757
NCT29,OUT018,1736.071169
NCL54,OUT013,2800.48122
FDC05,OUT045,2962.927154
FDF34,OUT035,3055.848995
FDP03,OUT027,3315.169293
FDD32,OUT010,234.2476364
FDZ10,OUT045,1954.121928
FDZ40,OUT035,880.4943279
FDD51,OUT018,474.0879987
NCY30,OUT019,357.4799063
FDP58,OUT017,3286.171755
FDV49,OUT017,4025.457868
FDY24,OUT019,84.8989542
NCO55,OUT017,1642.674525
FDR13,OUT017,1831.713383
FDS51,OUT017,986.4303969
FDP26,OUT045,1564.934857
NCB54,OUT027,3317.968828
FDF32,OUT017,2999.108562
FDN31,OUT018,2729.04934
DRM48,OUT017,605.812452
FDN20,OUT049,2811.55678
DRL01,OUT046,3756.842244
FDV56,OUT049,1647.844283
DRH13,OUT027,2615.262439
FDA03,OUT017,2369.877269
FDF47,OUT027,5598.306542
FDX32,OUT046,2416.375143
FDX57,OUT049,1508.38718
NCA30,OUT045,2952.64161
FDO49,OUT013,731.2507581
FDL04,OUT019,191.528378
DRM48,OUT035,609.2889123
FDR16,OUT013,3286.171755
NCC19,OUT018,2813.617124
NCE42,OUT045,3681.126201
FDY24,OUT017,853.3527793
FDH19,OUT049,2795.656013
FDJ46,OUT013,2798.333424
FDN45,OUT010,477.3377112
FDY08,OUT035,2017.405102
FDZ37,OUT035,1353.666284
NCT30,OUT045,711.5080094
DRY23,OUT018,498.3290503
NCZ30,OUT018,1774.694804
FDC44,OUT018,1684.339428
FDB45,OUT035,1691.095733
FDY04,OUT013,2500.179333
FDM27,OUT046,2521.42141
FDZ43,OUT017,3772.070606
FDT39,OUT019,318.7736954
NCC06,OUT019,251.064751
FDL15,OUT027,3847.024109
FDL57,OUT017,3955.306116
FDU08,OUT046,1588.681447
FDK40,OUT017,3930.255409
FDQ12,OUT010,474.5644061
FDS48,OUT017,2427.450703
FDP09,OUT045,3225.22243
FDW21,OUT049,1593.497438
FDY25,OUT035,2983.083277
DRE13,OUT017,1309.956014
FDV43,OUT019,90.28165323
FDD22,OUT045,1594.868767
FDM46,OUT019,195.6708034
NCO30,OUT010,430.8638261
FDM25,OUT046,2798.333424
NCN41,OUT049,1999.219156
FDU24,OUT045,1445.374183
FDZ50,OUT046,3008.864295
FDP45,OUT013,3840.353501
NCM54,OUT045,1940.295503
FDW10,OUT019,355.2334225
FDP20,OUT017,1999.097032
FDK32,OUT046,2414.227347
FDN52,OUT049,1321.191532
FDM58,OUT045,1610.02443
FDZ46,OUT027,2635.933413
NCA18,OUT018,1597.623848
FDD35,OUT046,2012.320388
NCK31,OUT035,778.2843881
FDI40,OUT027,2435.185448
FDT50,OUT019,177.5913992
NCT06,OUT046,2611.367933
FDT31,OUT035,3049.630611
FDT45,OUT049,784.8238428
FDT13,OUT045,2958.45441
FDO50,OUT045,1350.308158
NCU18,OUT010,250.9108201
NCR54,OUT049,3000.447367
NCO18,OUT018,2532.701793
FDU09,OUT045,817.6294994
FDT13,OUT018,2692.235103
FDE09,OUT046,1647.844283
NCK53,OUT019,192.4988056
FDG45,OUT049,3297.850384
DRH15,OUT035,629.5819114
FDO21,OUT019,504.2714929
FDD14,OUT027,5020.888957
FDC09,OUT046,1646.769665
FDH45,OUT027,1043.331338
FDV32,OUT046,998.235196
FDG12,OUT035,1871.286098
FDS32,OUT013,1996.14641
NCL55,OUT018,3402.599991
DRE01,OUT035,3841.495063
DRE15,OUT049,1269.615669
NCL42,OUT045,3673.04661
FDP31,OUT013,983.3058575
FDN33,OUT018,1321.85331
FDZ59,OUT046,2613.51573
FDE45,OUT010,353.8946175
FDJ07,OUT013,1824.377578
FDQ45,OUT018,2727.524175
FDM33,OUT027,5291.773302
FDO15,OUT010,167.7578349
FDM46,OUT013,1460.473731
FDR03,OUT045,3245.571249
FDY49,OUT018,2303.574767
FDQ60,OUT045,1807.8603
FDW10,OUT049,2812.159849
FDO51,OUT049,644.4345043
FDJ40,OUT018,1417.338524
FDS20,OUT018,2767.512057
FDU45,OUT013,1726.801092
FDV02,OUT035,2820.584618
FDN09,OUT046,3731.848139
NCM55,OUT027,5014.891758
FDN23,OUT018,2162.672409
FDY31,OUT010,240.1699828
FDW03,OUT010,193.0880077
FDD14,OUT046,3005.105762
FDV23,OUT017,2002.624122
DRI03,OUT045,2847.483787
FDN13,OUT035,1600.746581
FDF45,OUT027,1641.886514
FDU46,OUT035,1315.242362
FDB57,OUT049,3642.782112
FDV12,OUT049,1600.452197
FDQ58,OUT013,2428.525321
NCA18,OUT017,1820.812052
FDH52,OUT049,1003.667905
FDM24,OUT018,2174.009896
NCP43,OUT027,4819.782262
NCO18,OUT019,357.4799063
FDM32,OUT017,1465.64349
NCL07,OUT017,570.0326266
FDK03,OUT013,3895.121814
FDP59,OUT017,1641.906022
FDQ24,OUT049,3857.130548
FDQ16,OUT018,1417.338524
FDU44,OUT013,2500.179333
FDH28,OUT010,71.55067077
FDV28,OUT019,67.93096427
FDM22,OUT045,818.4213799
FDR56,OUT046,3000.447367
FDV39,OUT049,3001.419208
FDU37,OUT019,242.45532
FDQ11,OUT010,592.0000508
FDX02,OUT045,3578.099536
NCS42,OUT018,1237.285527
FDY57,OUT027,2313.214084
FDB21,OUT049,3736.291463
FDE28,OUT017,3696.068996
FDQ55,OUT017,1828.129607
FDA48,OUT049,3592.704995
FDZ19,OUT045,2752.675462
NCC43,OUT045,3759.719223
NCV18,OUT046,1291.431941
NCA42,OUT018,2234.547703
FDY45,OUT046,3967.720481
NCC30,OUT045,2752.755251
FDM57,OUT013,1302.417466
FDL09,OUT010,329.058189
FDB09,OUT027,3317.846704
FDT44,OUT035,1864.872493
NCT06,OUT027,4211.982752
FDX26,OUT049,3008.864295
FDK32,OUT013,2414.227347
DRA12,OUT046,2130.400045
FDO46,OUT010,404.7589064
FDE52,OUT013,1258.403296
NCH42,OUT045,3673.04661
FDV08,OUT035,679.2162068
FDB47,OUT018,2993.721569
FDC28,OUT010,261.2568617
FDD22,OUT046,1822.959849
FDS07,OUT027,2589.840626
DRI13,OUT045,3239.520404
FDG32,OUT018,3285.523923
FDU14,OUT017,3837.304883
FDD28,OUT019,119.5669772
NCP41,OUT017,1693.192275
FDS08,OUT049,2798.333424
FDX47,OUT045,2453.042642
FDC53,OUT019,196.6981363
FDQ19,OUT035,3958.885823
FDL14,OUT045,2367.419135
FDM33,OUT019,477.3377112
FDA51,OUT045,1755.505725
FDZ27,OUT018,523.7463392
FDT04,OUT046,653.2886817
DRC13,OUT049,1996.14641
FDR16,OUT027,5291.773302
FDQ03,OUT027,5757.205126
FDE38,OUT035,2767.832002
DRH23,OUT027,1466.651765
FDT11,OUT019,404.2361597
FDD09,OUT035,2855.882847
FDR40,OUT045,1268.110017
FDX07,OUT017,3012.597545
FDR07,OUT035,1552.447621
FDA51,OUT017,1793.025939
FDT59,OUT019,518.2485976
FDF20,OUT017,2998.299571
FDR13,OUT045,1783.197399
FDY26,OUT049,3280.80981
FDW04,OUT017,1999.097032
FDK52,OUT017,3696.068996
FDN60,OUT049,2502.32713
FDM09,OUT019,354.1267182
FDP46,OUT049,1321.191532
FDB50,OUT019,258.6704864
NCQ29,OUT049,3918.840106
FDP16,OUT027,5737.449685
FDX33,OUT018,2315.496887
FDP07,OUT010,431.4668951
FDN22,OUT046,3807.52498
FDF39,OUT049,4083.678605
FDS21,OUT017,987.1146704
NCM42,OUT013,1646.769665
FDK50,OUT019,331.5687873
DRF13,OUT027,3846.750898
FDH35,OUT018,2339.969907
FDP60,OUT018,1359.250306
DRJ49,OUT027,3332.144678
NCT42,OUT019,298.6624411
FDE38,OUT049,2594.515155
FDI04,OUT049,3000.447367
NCH54,OUT045,2443.525601
FDT56,OUT049,861.1413664
DRD15,OUT018,3289.466331
FDV58,OUT013,3012.125996
FDP21,OUT049,3011.522927
FDH05,OUT013,3696.068996
FDR10,OUT027,4108.873743
NCP06,OUT045,2355.425818
FDF33,OUT049,1647.844283
DRK37,OUT013,3012.125996
DRH49,OUT045,1246.656792
FDT58,OUT013,2618.005414
FDD41,OUT018,1432.2031
FDP40,OUT018,1417.338524
FDM51,OUT027,2638.689948
FDO45,OUT010,233.4386452
FDW33,OUT010,197.7993949
FDY24,OUT045,839.6076724
FDB10,OUT010,476.7122023
FDM40,OUT035,2148.708115
NCI06,OUT017,2935.173433
FDW12,OUT019,239.4073747
FDX48,OUT027,3849.70152
NCW05,OUT027,2637.394342
FDX27,OUT017,1430.539822
DRM37,OUT045,2952.64161
FDA38,OUT045,3680.270726
FDR36,OUT046,651.8205467
FDZ45,OUT046,3253.100374
FDG05,OUT017,2502.32713
FDK28,OUT013,3981.462025
FDV47,OUT045,1282.97245
FDN21,OUT045,2443.525601
FDP20,OUT027,3317.846704
FDI35,OUT045,2980.108555
DRY23,OUT013,638.3593432
FDA56,OUT017,2007.176623
FDB09,OUT013,1999.097032
NCO26,OUT027,2589.840626
FDQ49,OUT018,2214.551796
FDI52,OUT027,3319.9945
FDZ44,OUT027,2587.69283
FDZ09,OUT018,2426.685487
FDY03,OUT049,1839.144935
NCG42,OUT017,1999.097032
DRI13,OUT027,5303.92348
FDQ32,OUT013,1999.097032
FDW16,OUT035,1436.170978
FDU27,OUT046,758.3046302
FDR28,OUT010,326.9103928
FDQ49,OUT010,312.4885136
FDS37,OUT046,1822.519825
FDW26,OUT018,3090.527325
FDX12,OUT018,3281.122941
NCP06,OUT013,2414.227347
FDW45,OUT010,238.0221866
NCN30,OUT049,1465.64349
FDN24,OUT049,791.0006093
NCL41,OUT027,928.3471365
FDR02,OUT019,234.2260983
FDD09,OUT010,367.8692303
FDS33,OUT010,245.0481211
FDU22,OUT045,1913.479289
FDI53,OUT013,2502.32713
DRH01,OUT049,2800.48122
FDX32,OUT013,2132.547841
NCP30,OUT018,470.0872581
FDB60,OUT045,2962.298215
FDB14,OUT049,1439.131269
NCP02,OUT035,839.7962978
FDJ10,OUT017,2001.244828
FDG34,OUT046,1658.540415
NCB18,OUT017,1315.014766
FDM16,OUT049,1157.994162
FDW25,OUT018,1087.663777
FDB35,OUT010,177.2451529
DRN11,OUT013,2115.760902
FDF41,OUT019,500.3835231
FDH16,OUT045,1275.974589
NCQ50,OUT018,2985.838061
DRH23,OUT018,718.025307
DRJ37,OUT013,2414.227347
DRJ24,OUT027,5016.230563
FDY16,OUT035,3042.360012
FDQ27,OUT045,1589.333333
FDZ33,OUT045,2368.569386
FDF29,OUT045,1964.879021
FDA08,OUT049,2500.179333
FDG31,OUT046,988.7481959
FDE34,OUT019,411.7032879
NCR30,OUT027,1948.730932
FDV33,OUT035,4140.237724
DRZ24,OUT018,1735.338091
NCL54,OUT035,2842.393865
FDR12,OUT049,2795.382802
NCC54,OUT046,3696.19112
DRN59,OUT013,741.3374321
FDX50,OUT019,250.7900624
FDV31,OUT027,4587.81167
NCA29,OUT027,4450.681122
FDW60,OUT049,2812.631398
FDX08,OUT017,3053.208057
DRD49,OUT013,3696.068996
FDD33,OUT046,3736.291463
FDW35,OUT013,669.7413447
FDJ36,OUT017,1642.674525
FDV51,OUT035,2653.481035
FDW36,OUT046,1640.526728
FDH35,OUT046,2611.367933
NCS30,OUT027,3319.9945
FDN49,OUT017,651.8205467
FDL08,OUT018,3315.579013
FDI09,OUT013,3696.068996
FDP19,OUT018,1862.624407
FDU21,OUT010,63.22290884
NCP41,OUT045,1634.390746
FDY10,OUT013,1726.801092
FDP12,OUT018,395.8689877
NCN26,OUT049,1827.054989
FDK44,OUT013,2800.48122
FDC28,OUT049,1640.526728
FDJ41,OUT027,5913.189294
NCT29,OUT035,2042.470606
NCH42,OUT019,490.2416376
FDU60,OUT018,2344.459591
FDS02,OUT045,2971.344081
FDC51,OUT046,1990.623774
FDU03,OUT013,3057.242966
FDX39,OUT045,3238.566276
NCY05,OUT010,82.82683874
NCL06,OUT027,5874.074216
FDD32,OUT035,1340.825229
NCN41,OUT045,1940.417627
NCX53,OUT049,2183.065591
FDU57,OUT019,291.4545882
FDQ23,OUT046,1673.34082
FDQ52,OUT045,3786.684123
FDC14,OUT045,621.5475419
FDY09,OUT035,2854.808229
FDQ28,OUT045,2365.711362
FDV25,OUT046,3565.980825
FDJ07,OUT035,1867.629028
DRB25,OUT049,1642.674525
FDK52,OUT019,452.3439223
FDY52,OUT027,1717.039664
FDB28,OUT046,3008.864295
FDT36,OUT035,603.1500011
FDV25,OUT017,3633.142532
NCN07,OUT027,3317.846704
FDC57,OUT017,2998.299571
FDQ03,OUT018,3295.111986
FDU23,OUT017,2656.726746
NCX41,OUT035,3536.658274
NCD06,OUT035,771.5319252
FDW08,OUT045,1594.868767
NCU29,OUT017,2426.461686
NCE06,OUT013,2502.32713
FDV52,OUT010,215.8872814
FDB02,OUT017,2816.215174
NCR18,OUT045,600.5608505
FDK16,OUT049,1465.171941
NCQ29,OUT010,554.4922611
FDZ01,OUT019,197.3329963
FDW27,OUT035,2534.67249
FDD17,OUT018,3272.405924
FDW39,OUT013,2795.656013
DRH59,OUT045,1044.60436
FDS52,OUT013,1640.417975
FDU40,OUT027,5014.082766
NCF54,OUT013,2798.333424
FDH46,OUT045,1592.010744
NCP14,OUT049,1642.674525
FDH50,OUT049,3001.951214
DRF15,OUT010,278.8399926
FDV27,OUT027,2235.671569
NCJ06,OUT049,1959.13725
FDN02,OUT018,2952.214115
FDQ51,OUT049,733.1040926
FDQ07,OUT017,3592.704995
FDS45,OUT049,1645.033067
NCJ06,OUT045,1940.295503
FDD36,OUT035,1871.381057
FDY25,OUT045,2984.766949
FDU52,OUT046,2414.227347
DRK47,OUT017,3735.437684
NCL30,OUT017,1999.097032
FDN22,OUT035,3952.951047
NCF30,OUT027,3319.9945
FDK03,OUT035,4136.240287
FDT45,OUT017,847.1760128
NCC54,OUT027,5701.792666
FDP08,OUT018,2813.617124
FDU44,OUT046,2500.179333
DRG39,OUT035,773.7920803
FDU32,OUT049,2012.320388
FDY27,OUT049,2905.813766
NCP54,OUT013,1999.097032
NCZ41,OUT049,1999.219156
DRL49,OUT013,2287.758215
FDI05,OUT018,1157.344384
FDY56,OUT045,3683.50911
DRC13,OUT013,1996.14641
NCV29,OUT017,2850.99897
FDR24,OUT049,1384.762548
FDZ34,OUT018,2729.04934
FDP37,OUT035,2017.405102
FDX08,OUT027,4837.030858
FDS57,OUT045,2084.742084
NCG18,OUT049,1647.844283
FDK25,OUT018,2613.650977
FDH53,OUT049,1286.168518
DRI59,OUT018,3240.324828
FDA52,OUT046,2800.48122
FDT20,OUT010,84.47425992
FDE36,OUT019,377.7224404
FDI24,OUT017,2800.48122
FDB28,OUT018,3040.415878
FDV11,OUT017,2801.860513
FDP01,OUT046,2414.227347
FDD34,OUT027,4115.092126
FDJ50,OUT027,1354.804518
FDZ44,OUT013,1820.812052
DRO59,OUT035,1255.183555
DRB48,OUT045,615.6751238
FDR21,OUT018,2527.744388
NCE42,OUT010,503.645984
FDO23,OUT046,1461.853025
NCE30,OUT018,3072.55364
FDQ22,OUT035,591.6357447
FDY01,OUT045,1790.09803
FDS08,OUT017,2798.333424
FDG28,OUT018,3275.356545
FDQ51,OUT018,530.8543015
FDB05,OUT017,3834.48988
FDO56,OUT049,1820.812052
FDE02,OUT018,1193.019321
FDN45,OUT017,3592.704995
FDS09,OUT013,727.1902054
NCA54,OUT018,2663.775406
FDP09,OUT010,446.204556
FDC53,OUT045,1524.736153
NCM55,OUT017,2999.108562
FDL09,OUT018,2613.650977
FDA11,OUT019,181.2686874
FDA50,OUT045,1382.734064
FDC23,OUT017,2812.631398
FDE22,OUT049,2497.228712
FDD23,OUT046,2998.299571
NCA29,OUT049,2811.55678
FDK38,OUT046,2418.885741
DRC13,OUT046,1996.14641
NCP43,OUT049,2795.382802
FDX28,OUT049,1584.586307
FDF08,OUT049,1388.791519
FDZ33,OUT046,2416.375143
FDD10,OUT049,2798.333424
FDO58,OUT017,2500.179333
FDI50,OUT017,3733.555912
FDO58,OUT045,2552.566405
FDX08,OUT013,2949.471407
NCK17,OUT010,77.83180243
FDF39,OUT035,4245.499716
FDU45,OUT010,275.8368703
NCJ18,OUT018,1684.339428
DRC27,OUT019,504.6745521
DRC25,OUT035,1344.488353
FDU59,OUT035,2545.619068
FDU28,OUT035,3062.708795
NCP30,OUT046,640.1260299
FDB39,OUT018,606.2690022
FDE41,OUT013,1305.703995
DRH11,OUT010,89.36160941
FDA58,OUT045,3648.263238
FDU50,OUT046,1793.025939
FDM34,OUT013,1999.906023
FDM44,OUT027,2632.173801
FDR39,OUT045,2968.826696
FDM25,OUT045,2749.817439
FDQ49,OUT049,2414.227347
DRH25,OUT018,564.7551128
FDM09,OUT027,4439.605563
FDL44,OUT019,357.3972835
NCR42,OUT018,338.596222
DRL59,OUT046,783.4696294
FDX43,OUT013,2722.069954
DRK47,OUT010,459.9252636
FDU48,OUT018,1775.908827
FDY12,OUT045,757.0186663
NCN43,OUT018,1775.323533
NCM55,OUT018,2727.710535
FDQ21,OUT027,3331.673129
FDX13,OUT035,4020.47976
NCK30,OUT027,5801.986385
FDG20,OUT049,2800.48122
DRG27,OUT017,621.886637
FDY14,OUT018,3607.441188
FDP59,OUT035,1685.157472
FDU60,OUT017,2823.327529
NCC18,OUT019,497.9960061
DRJ39,OUT017,3278.024719
FDS07,OUT049,1822.959849
FDM08,OUT027,5634.085684
FDP51,OUT045,1939.949919
FDU16,OUT035,1318.573489
FDH12,OUT013,1642.674525
DRE48,OUT010,430.8638261
